EXPOCODE,SECT_ID,LINE,STA,CAST,BTL,BTL_QC,DATE,TIME,LAT,LONG,Bot Depth,Press (db),CTD T C° ITS-90,CTD SALT,CTD_QC,bot salt,Bot_Salt_QC,CTD OXY µmol/kg,Bot O2 µmol/kg,Bot_O2_QC,Silicate µmol/kg,Nitrate µmol/kg,Nitrite µmol/kg,Phosphate µmol/kg,Ammonia µmol/kg,DIC µmol/kg,DIC_QC,TA µmol/kg,TA_QC,pH total meas 25°C,pH_QC,Chlorophyll a concentration µg/L,PON µmol/L,POC µmol/L,POC/PON mol/mol,PON µmol/kg,POC µmol/kg
32WC20110812,WCOA2011,1,2,1,19,2,8/12/2011,19:35:26,47.54,-125.68,1446,20.44,14.204,29.551,2,-999,9,239.7,-999,9,3.28,0.09,0.02,0.3,0.02,1937.4,2,2155.2,2,7.959,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,20,2,8/12/2011,19:36:30,47.54,-125.68,1446,15.17,16.339,29.976,2,-999,9,219.2,-999,9,3.28,0.19,0.02,0.26,0.05,1922.6,2,2151,2,7.955,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,21,2,8/12/2011,19:37:33,47.54,-125.68,1446,10.44,16.628,31.029,2,-999,9,220.8,-999,9,3.28,0.13,0.01,0.25,0.06,1917.7,2,2150.4,2,7.973,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,22,2,8/12/2011,19:39:02,47.54,-125.68,1446,1.49,16.759,31.766,2,31.7626,2,254,249.14,6,3.27,0.09,0.01,0.24,0.04,1917.1,6,2151,6,7.976,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,23,2,8/12/2011,19:39:18,47.54,-125.68,1446,1.59,16.768,31.845,2,-999,9,254,-999,9,-999,-999,-999,-999,-999,-999,9,-999,9,-999,9,-999,1.78,14.35,8.1,1.82,14.68
32WC20110812,WCOA2011,1,3,1,1,2,8/12/2011,22:27:26,47.8,-125.47,878,865.37,4.171,34.319,2,34.3193,2,10.4,10.65,6,113.49,42.77,0.01,3.15,0.01,2348.5,2,2346.7,2,-999,9,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,2,2,8/12/2011,22:27:59,47.8,-125.47,878,865.34,4.168,34.32,2,-999,9,9.2,-999,9,-999,-999,-999,-999,-999,-999,9,-999,9,7.287,3,-999,0.46,4.64,10.1,0.47,4.76
32WC20110812,WCOA2011,1,3,1,3,2,8/12/2011,22:30:19,47.8,-125.47,878,800.03,4.296,34.297,2,-999,9,11.2,13.7,2,110.3,42.59,0.04,3.16,0.01,2346.9,2,2343.5,2,7.289,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,4,2,8/12/2011,22:33:12,47.8,-125.47,878,700.08,4.581,34.244,2,-999,9,13.1,13.52,2,101.73,42.25,0.02,3.12,0.01,2335.2,2,2332.7,2,7.281,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,5,2,8/12/2011,22:35:47,47.8,-125.47,878,600.29,4.838,34.194,2,-999,9,15.3,-999,9,94.25,41.74,0.02,3.08,0,2324.7,2,2324.1,2,7.283,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,6,2,8/12/2011,22:38:40,47.8,-125.47,878,499.9,5.25,34.123,2,-999,9,28.5,26.7,2,82.94,40.48,0.01,2.97,0,2306.7,2,2297.6,2,7.295,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,7,2,8/12/2011,22:41:22,47.8,-125.47,878,399.82,5.692,34.067,2,-999,9,39.8,-999,9,72.18,38.88,0.01,2.84,0,2286.7,2,2293.7,2,7.315,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,8,2,8/12/2011,22:44:00,47.8,-125.47,878,298.85,6.221,34.002,2,-999,9,61,-999,9,61.77,36.33,0.04,2.65,0.07,2262.3,2,2275.7,2,7.351,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,9,2,8/12/2011,22:47:07,47.8,-125.47,878,200.68,7.162,33.892,2,-999,9,106.5,107.68,2,44.25,31.38,0.01,2.28,0.01,2216,2,2256.3,2,7.432,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,10,2,8/12/2011,22:49:03,47.8,-125.47,878,150.99,7.699,33.774,2,-999,9,128.3,-999,9,36.03,28.14,0.04,2.08,0.01,2195,2,2257.4,2,7.482,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,11,2,8/12/2011,22:50:53,47.8,-125.47,878,124.73,8.022,33.622,2,-999,9,143.5,-999,9,31.28,26.08,0.04,1.97,0.02,2172.3,2,2231.7,2,7.511,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,12,2,8/12/2011,22:52:36,47.8,-125.47,878,100.05,8.372,33.27,2,-999,9,184.8,178.71,2,-999,-999,-999,-999,-999,2129.9,2,2218.9,2,7.576,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,13,4,8/12/2011,22:54:16,47.8,-125.47,878,79.64,8.488,32.898,2,-999,9,217.3,-999,9,-999,-999,-999,-999,-999,-999,9,-999,9,-999,9,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,14,4,8/12/2011,22:55:47,47.8,-125.47,878,60.06,8.764,32.59,2,-999,9,257.9,-999,9,-999,-999,-999,-999,-999,-999,9,-999,9,-999,9,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,15,2,8/12/2011,22:57:00,47.8,-125.47,878,49.77,9.086,32.514,2,-999,9,265.8,-999,9,7.36,6.37,0.07,0.87,0.03,2023.4,2,2172.3,3,7.782,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,16,2,8/12/2011,22:58:12,47.8,-125.47,878,40.08,9.505,32.475,2,-999,9,278.3,-999,9,-999,-999,-999,-999,-999,-999,9,-999,9,-999,9,-999,0.88,7.96,9,0.91,8.16
32WC20110812,WCOA2011,1,3,1,17,2,8/12/2011,22:58:39,47.8,-125.47,878,40.1,9.449,32.472,2,-999,9,275.1,283.54,2,7.35,3.41,0.15,0.73,0.05,2008,2,2167.7,3,7.817,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,18,2,8/12/2011,22:59:42,47.8,-125.47,878,29.35,10.136,32.432,2,-999,9,301.4,-999,9,6.25,1.25,0.07,0.61,0.05,1991.4,2,2184,2,7.861,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,19,2,8/12/2011,23:00:59,47.8,-125.47,878,19.92,12.114,32.393,2,-999,9,306.4,-999,9,4.61,0.02,0.03,0.45,0.03,1955.7,2,2177.2,2,7.921,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,20,2,8/12/2011,23:02:21,47.8,-125.47,878,15.19,13.357,32.263,2,-999,9,292.9,-999,9,3.87,-0.04,0.02,0.4,0.04,1951.1,2,2169.5,2,7.932,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,21,2,8/12/2011,23:03:44,47.8,-125.47,878,9.64,15.705,32.012,2,-999,9,261.1,-999,9,3.69,0,0.03,0.34,0.03,1936.3,2,2173.9,3,7.945,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,22,2,8/12/2011,23:04:55,47.8,-125.47,878,1.94,16.072,31.756,2,31.7829,2,262.8,261.33,6,3.69,0.09,0.04,0.27,0.06,1919.1,6,2150.5,2,7.973,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,3,1,23,2,8/12/2011,23:05:07,47.8,-125.47,878,1.91,16.146,31.759,2,-999,9,253.2,-999,9,-999,-999,-999,-999,-999,-999,9,-999,9,-999,9,-999,1.26,11.03,8.7,1.29,11.29
32WC20110812,WCOA2011,1,4,1,1,2,8/13/2011,2:00:02,47.98,-125.31,263,257.42,6.554,33.97,2,33.9714,2,75.5,76.78,6,55.12,34.49,0.08,2.5,0.13,2251.3,6,2273.4,6,7.371,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,4,1,2,2,8/13/2011,2:00:27,47.98,-125.31,263,257.26,6.54,33.972,2,-999,9,72.1,-999,9,-999,-999,-999,-999,-999,-999,9,-999,9,-999,9,-999,0.46,4.64,10.1,0.47,4.77
32WC20110812,WCOA2011,1,4,1,3,2,8/13/2011,2:02:42,47.98,-125.31,263,199.49,6.71,33.957,2,-999,9,85.8,88.05,2,51.63,33.56,0.04,2.42,0.08,2241,2,-999,1,7.394,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,4,1,4,2,8/13/2011,2:04:34,47.98,-125.31,263,149.82,7.005,33.93,2,-999,9,97.5,97.8,2,46.86,32.29,0.03,2.32,0.03,2229.4,2,2269.5,2,7.416,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,4,1,5,2,8/13/2011,2:05:55,47.98,-125.31,263,125.34,7.471,33.832,2,-999,9,123,-999,9,38.42,29.03,0.05,2.11,0.01,2201.7,2,2254.1,2,7.471,3,-999,-999,-999,-999,-999,-999
